Word,Language,Example
déraillent,FRA,"Il y a de plus en plus de choses à faire, à subir, à respecter, de faux besoins à satisfaire, de plus en plus de difficultés pour survivre dans certaines conditions sociales ; toutes ces choses font qu’il y a de plus en plus de jeunes et d’adultes qui déraillent, qui sont perdus dans une société qui les dépasse et dans laquelle ils se noient, tant l’argent pourrit l’âme humaine."
déraillent,FRA,"Les camés, à l’intérieur, ce sont encore des êtres humains, même si ils déraillent."
déraillent,FRA,"Les avions se crashent, les automobiles sont accidentées, les trains se percutent ou déraillent, les usines d’engrais explosent (AZF), les raffineries et les dépôts de carburants prennent feu (Feyzin), les puits de pétrole explosent et fuient (Deepwater Horizon, Koweit) on s’ébouillante avec sa bouilloire domestique, on peut se noyer dans sa piscine, les centrales nucléaires chauffent et font fuiter de la radioactivité."
dérangerais,FRA,Avec tout honnêteté aujourd'hui j'ai répondu que non cela ne me dérangerais pas mais il y a une semaine oui cela m'aurais dérangé pour la seul et unique raison que je ne savais pas comment ni avec quoi remplacer les œufs et le beurre SURTOUT MON BEURRE.
dérangerais,FRA,"Vraiment ? :O. Ohw, oui, bah, si ça te dérangerais pas je voudrais bien des infos sur la MANAA genre est-ce que c'est -"
dérapant,FRA,"Les autres skieurs passent à côté à pleine vitesse en frimant, en dérapant, salauds de bourgeois !"
dérapant,FRA,"Après le spectacle pathétique des #ueps c'est le ""Manpower"" du #PS qui essaye d'exister politiquement en dérapant."
dériveurs,FRA,"Et ce qui allait arriver à toute l'humanité en un temps où d'étranges créatures, les dériveurs tombaient de l'espace interstellaire sur toutes les planètes du système solaire, y compris la Terre."
dérobait,FRA,"Le break réalisé à 1-1 dans le premier set a donné le ton : très bon au retour, il dérobait la mise en jeu du grand Anderson sur un splendide passing de coup droit."
dérobait,FRA,"Hélas, à chaque fois, le cadre se dérobait pour quelques malheureux centimètres."
dérobait,FRA,"Quand il a appris qu'il avait contracté le virus du sida, Anthony (1), un ch'ti âgé de 41 ans installé depuis 3 ans et demi à Pau, a eu l'impression que le sol se dérobait sous ses baskets."
dérobait,FRA,"Prenant très mal l'affaire, le jeune homme dérobait, un soir de dispute, le véhicule de sa compagne ainsi que son téléphone portable, ladite voiture étant retrouvée à l'état d'épave et incendiée le lendemain"
dérobait,FRA,"Qu'est-ce qu'il a fait, au juste, à part s'accrocher à un pouvoir qui se dérobait devant lui ?"
dérobait,FRA,Puisqu'il se dérobait
dérobait,FRA,Il se sent aspiré comme si le sol sous lui se dérobait
dérobait,FRA,"J’avais beau faire, la 7ème balle se dérobait toujours à mes efforts."
dérobait,FRA,"Le concept était d'aider Lucifer à récupérer toutes les âmes déchus visibles sur la map, en sachant que le sol se dérobait après nos mouvements."
dérobant,FRA,"Plutôt habitués à perturber l'accès aux sites qu'à pirater des données, les activistes des Anonymous se sont dernièrement rapprochés des LulzSec, un groupe plus récent qui s'est fait remarquer en dérobant puis en exposant sur Internet des informations de grandes multinationales, dont Sony."
dérobant,FRA,"Les deux jeunes garçons sont suspectés d'avoir extorqué sept victimes sous la menace d'un couteau : dérobant ainsi sous la menace des téléphones portables, des vêtements et de l'argent."
dérobant,FRA,Plusieurs hommes l'ont alors roué de coups et aspergé de gaz lacrymogène avant de prendre la fuite en lui dérobant 100 000 euros de chèques-restaurant et une forte somme en espèces.
dérobant,FRA,"Ils imposent leur présence, tout en se dérobant à l’interprétation."
dérobant,FRA,Plusieurs hommes l’ont alors roué de coups et aspergé de gaz lacrymogène avant de prendre la fuite en lui dérobant 100 000 euros de chèques-restaurant et une forte somme en espèces.
dérobant,FRA,"Indignés par la réponse disproportionnée de la police, un groupe de jeunes est entré par effraction dans un poste de police local et y a mis le feu, dérobant des armes et des meubles."
dérobant,FRA,"A l’intérieur de sa chair, se bousculent sans cesse des voix furieuses cherchant à anéantir ses dernières volontés , happant ses dernières forces , l’empêchant d’agir ou de réagir de façon adaptée , verrouillant son corps et son âme , lui dérobant sa substantifique moelle."
dérouleraient,FRA,"Rappelons que le conseil régional table sur une remise en service à l'horizon 2015, après des travaux qui se dérouleraient en 2013 et 2014."
dérouleraient,FRA,"Selon le «scénario de base», le cas de figure le plus optimiste, les événements se dérouleraient sans trop de difficultés."
dérouleraient,FRA,"Et qu’à un moment donné après le terrorisme international, des événements se dérouleraient qui utiliseraient les désormais révélés « Alien Reproduction Vehicules » (ARVs ou OVNIs obtenus par rétro-ingénierie, construits par l’homme grâce à l’étude de la technologie E.T.) afin de simuler une attaque contre la Terre. »"
dérouleraient,FRA,"Lancé une première fois le 7 septembre 2010, j’ignorais comment les choses se dérouleraient."
déroutait,FRA,"Pour ma part, mon ""auto-gestation"" durât trente-quatre longues années; elles furent très longues, car je me suis enfermée et laissée enfermer dans des formats d'apparences qui ne correspondaient pas à mon moi profond; d'abord, ce moi profond me déroutait tant que je préférais l'ignorer; ensuite, cette différence que je portais en moi, que je ressentais plus que je ne la ""savais"", ajoutée à ce statut encore particulier de ma situation familiale dans les années soixante, celle d'une enfant du divorce, qui, de surcroît, ne vivait avec aucun de ses deux parents, ne faisait que rajouter du trouble sur du trouble déjà intrinsèquement existant."
désaffectation,FRA,Pourquoi une telle désaffectation sur les produits d'investissement et de placement traditionnels ?
désagrègent,FRA,"Que faites-vous donc à regarder les temples qui se désagrègent alors que l’Église nouvelle est là, tout près, à vouloir pousser dans leurs ombres ?"
désagrègent,FRA,"Dans ce cadre, un recensement (en France, Suisse, Grèce et Italie) a retrouvé 26 substances pharmaceutiques, les chercheurs se sont intéressés à la demie vie de 6 molécules (temps nécessaire à ce que la moitié des molécules se désagrègent naturellement), les résultats sont préoccupants : certaines molécules mettent jusqu'à 5 ans pour s'éliminer de moitié."
désagrègent,FRA,Elles se désagrègent dans le bleu du ciel.
désagrègent,FRA,"Aux peurs et aux pulsions identitaires qui désagrègent les liens du vivre ensemble, il faut opposer un projet de société constructif et partagé."
désaltérante,FRA,"Avec du riz et une bonne bière fraîche, désaltérante avec cette chaleur, c’est parfait."
désaltérante,FRA,"La liqueur dorée de ce précieux thé est légère, affichant un bon équilibre entre douceur et astringence, très désaltérante."
désamorçant,FRA,"Avec le G20 qui s'ouvre aujourd'hui à Cannes, l'Union européenne tente d'éviter une catastrophe financière en désamorçant la bombe du référendum grec."
désamorçant,FRA,"Le Premier ministre a réalisé un habile grand écart, reconnaissant la situation délicate de MAM suite aux polémiques sur ses vacances tunisiennes tout en désamorçant sa mise en cause éthique."
désamorçant,FRA,Les miracles authentiques alternent avec des scènes désamorçant ou en nuançant d'autres (dont une étonnante intervention de Napoléon) mais la sincérité absolue de Bernadette n'est elle jamais remise en cause.
désappris,FRA,J'ai désappris la ponctuation dans un rejet primaire de vos normes bourgeoises.
désapprobateurs,FRA,"Dehors, la foule est dense et seuls quelques vieux mollahs manifestent bruyamment leur joie sous les yeux désapprobateurs d'une jeunesse impatiente de s'exprimer."
désavouant,FRA,"Mais je partage votre avis, d'ailleurs, sur Accoyer », a ajouté le chef de l'État, désavouant au passage le président de l'Assemblée nationale."
désavouant,FRA,"François Truffaut lui écrit même une lettre désavouant la façon, très démagogique selon lui, dont André Cayatte a traité un fait divers, l'histoire d'un jeune garçon amoureux de sa professeure."
désavouant,FRA,"Mais je partage votre avis, d'ailleurs, sur Accoyer, a ajouté le président de la République, désavouant au passage le président de l'Assemblée nationale."
désavouant,FRA,"On ne saurait sur ce point lui en vouloir de froncer les sourcils sur des pratiques qui, en effet, sont plus que contestables…Il reste qu’en les désavouant, elle réduit le champ de la liberté de la presse et, par là-même, l’étendue du droit de savoir du public."
désemplissait,FRA,"Située 4, place de Haldenbourg, à Cronenbourg, la boutique Méli Mélo ne désemplissait pas pour sa première journée, hier."
désemplissait,FRA,"J’étais crevée et en crise de douleurs que je m’efforçais de combattre seule, au milieu d’une maison le soir qui ne désemplissait pas de monde de passage."
désenchantés,FRA,"C'est ""un encouragement aux Français à ne pas être désenchantés et à les convaincre qu'il existe une marge de manoeuvre pour l'action politique"", a poursuivi la candidate à la primaire socialiste."
désenchantés,FRA,Reste à discerner ce qui motive ce sentiment d'amoureux à la fois transis et vite désenchantés.
désenchantés,FRA,"Hier soir, j'ai pris le bus avec ""mes"" étudiants, désenchantés et déconfits."
désenchantés,FRA,"C’est facile de dire : « Ils sont désenchantés, donc ils existent. »"
désenchantés,FRA,Couloirs du temps désenchantés
désenchantés,FRA,"Faussement désenchantés on ose se demander à quoi ça sert la haine, quand nous nous sommes persuadés de la subversion amoureuse et du positivisme dans le refus des contraintes."
désenchantés,FRA,"Le bal des cyniques et des désenchantés, très peu pour moi."
désenfler,FRA,"Laissé au repos hier, il a vu son hématome désenfler mais se révèle lui aussi incertain pour la venue de Béziers, dimanche à 17h30 (sur Eurosport)."
désenfler,FRA,"Mes amis mes soeurs, il s’agirait d’arrêter de déconner et de faire désenfler cette panse infâme dont les frimas et les fêtes familiales vous ont garnis."
désenfler,FRA,"Mon instructeur a dit que c'était une fracture de stress, c'est-à-dire qu'il y a une fissure qui est de biais et qu'il n'y a rien à faire, c'est seulement avec le temps que ma jointure va désenfler."
désertait,FRA,"Pierre Izard profitait de l'occasion pour faire un parallèle d'actualité en rappelant que si l'Etat désertait les territoires, les collectivités locales et le conseil général en particulier investissaient au plus près des usagers avec l'inauguration ce vendredi 25 novembre le flambant neuf secteur routier villefranchois rattaché à la direction de la voirie et des infrastructures."
désespères,FRA,"Tu désespères un peu, on t’oriente vers d’autres vitrines et finalement tu achètes un superbe ensemble Chloé."
désespères,FRA,"Tu me désespères, qu'allons-nous faire de toi...."
déshabilla,FRA,"Il éteignit l’ordinateur, se déshabilla et se coucha."
déshabillées,FRA,"« Nous vous offrons les services d'un ménage irréprochable, accompagnés d'une intense touche de sensualité » annonce la société « Sensual clean service » sur son site et de proposer des soubrettes très déshabillées, simplement armées de leur plumeau, le client étant invité, pour quelques centaines d'euros tout de même, à fournir en plus les produits d'entretien."
déshabillées,FRA,"Maintenant dans ma piaule de 5m2, j’en suis réduit à regarder des clips de MTV où les plus belles des scandinaves sont déshabillées par des noirs sur une musique “entraînante et funky”."
déshabillées,FRA,"L’Europe ne l’a pas vu mieux venir qui l’avait accueilli à gorges chaudes de frivolités, folles nuits alcoolisées, déshabillées, déhanchées sans même chercher à comprendre de quel chagrin, de quelles blessures il tentait de se guérir en ses vapeurs ambrées."
déshabillées,FRA,"oh oui, envoie moi des blondes un peu déshabillées"
déshonorée,FRA,"Le club envisage de prendre un avocat et espère le soutien de la municipalité dans son action, « car en taxant le FCO Football de club raciste, c'est toute la ville d'Oloron-Sainte-Marie qui est déshonorée »."
déshonorée,FRA,"La femme musulmane dans sa “prison vestimentaire” est dépersonnalisée, déshonorée et déshumanisée, au nom de la liberté religieuse."
déshonorée,FRA,"D’un monde d’intérêts aussi féroces qu’égoïstes où la loi est bafouée, et la République déshonorée."
déshonorée,FRA,"Frasquita est déshonorée dans sa propre maison par l’homme qui l'a gagnée, mais paradoxalement elle atteint enfin la jouissance et le plaisir charnels."
déshonorée,FRA,"Seule échappée de la réserve cree et de son endoctrinement religieux, déshonorée par un homme blanc, la vieille femme a toujours vécu dans la forêt, loin de la folie des hommes que Xavier, lui, côtoie au quotidien."
désinfectées,FRA,"Bien entendu, les cabanes à oiseaux ont été décrochées et attendent d’être brossées et désinfectées."
désinsectisation,FRA,"C'est l'entreprise familiale Souyris de Carmaux, spécialisée dans le désinsectisation qui a procédé à l'opération."
désinsectisation,FRA,"Pour décrocher et tuer le fruit menaçant, les communes ou les particuliers font appel à des professionnels de la désinsectisation."
désinsectisation,FRA,"Ce système, dont le maniement demande une certaine expérience, permet la désinsectisation depuis le sol à l’aide d’un produit gazeux sous pression."
désinsectisation,FRA,Il avait fallu procéder à une désinsectisation complète.
désintéressant,FRA,"Les personnages restent à jamais des figures de papier, aucune consistance, aucun relief, j'ai suivi leurs aventures en baillant me forçant presque à tourner les pages, tout juste curieuse du sort qui leur était réservé, me désintéressant totalement"
désintéressant,FRA,": Et pour terminer avc ce débat et sans faire une généralité, mon cas cad. les personnes se désintéressant de plus en plus de..1/2"
désirerait,FRA,"Il fait l'éloge de ""la gueule"" qui est en effet la manière la plus efficace de démontrer au monde vain et ridicule qui vous entoure qu'on ne l'aime pas et qu'on désirerait être ailleurs."
désirerait,FRA,"sont maintenant emplis de ceux que l'on désirerait oublier,"
désirerait,FRA,"Bokassa disait qu'il ne consommait jamais de viande humaine, mais qu'il en avait toujours dans son frigo au cas où un invité en désirerait."
désodorisants,FRA,"Parmi les pires produits, on note les désodorisants que l'on branche."
désodorisants,FRA,"Des allergologues américains ont annoncé cette semaine, au cours du congrès annuel de l'American College of Allergy, Asthma and Immunology (ACAAI), que de nombreuses allergies pouvaient découler de l'utilisation de désodorisants et de bougies parfumées."
désodorisants,FRA,"""La meilleure solution est d'éviter l'exposition aux polluants que les désodorisants contiennent""."
désodorisants,FRA,La présence d’un nombre anormalement élevé de produits désodorisants dans l’habitacle ainsi que le ton évasif du jeune homme attisent la suspicion des douaniers qui décident d’approfondir leur contrôle.
désodorisants,FRA,Il est vrai que les étiquettes des shampoings et des désodorisants sont moins passionnantes depuis que j'ai un smartphone.
désodorisants,FRA,La vieille qui essaie les désodorisants pour toilettes dans le rayon.
désodorisants,FRA,"En cas de nouveau besoin de rigueur, on a encore en réserve la taxe sur le papier triple épaisseur et celle sur les désodorisants vanille."
désopilantes,FRA,"A travers des personnages hilarants et des mimiques désopilantes, Jamel a enchanté ses fans."
désopilantes,FRA,"Il a mis des paroles désopilantes sur des « tubes » classiques comme Le Complexe de la Truite, chantée par les Frères Jacques sur la musique du quintette en la majeur de Franz Schubert, La Pince à linge, chantée par Les Quatre Barbus sur la musique des quatre mouvements de la Symphonie n° 5 de Beethoven ; toujours chantée par Les Quatre Barbus, Honneur aux barbus reprend l’air de Figaro dans Le Barbier de Séville de Gioachino Rossini."
désopilantes,FRA,"Ça pourrait être lourd mais, étonnamment, les scènes que décrit Jonathan Coe sont par moments désopilantes."
désopilantes,FRA,"et aussi en écoutant les nouvelles désopilantes du pays, du coup j'ai éteint la radio, la télé et suis sorti boire un café et Miracle j'ai retrouvé le moral…"
désorganisées,FRA,"Complètement désorganisées depuis la chute du régime, les autorités tunisiennes ne contribuent plus, depuis décembre 2010, aux charges de l'amicale (propriétaire d'un local à Anzin), laissant apparaître un trou dans la trésorerie, qu'il a bien fallu combler."
désorganisées,FRA,Les troupes allemandes ont l’air aussi un peu désorganisées : un soldat désarmé est venu apporter aux Grimaldi un mulet gris pommelé et puis est reparti tout courrant en leur criant de le garder.
désoriente,FRA,"Des chercheurs ont détecté un parasite de mouche qui conduit les abeilles domestiques à quitter leur ruche, les désoriente et provoque leur mort, selon une recherche publiée mardi."
désoriente,FRA,"En revanche, certains carrefours (notamment Jaurès/Félix-Viallet et Jaurès-Berriat) posent de gros problèmes aux heures de pointe, ainsi que la place Dubedout, « parce la multiplicité des plots rouges et blancs désoriente les automobilistes », précise un technicien."
désoriente,FRA,"WASHINGTON – Des chercheurs américains ont détecté aux Etats-Unis un parasite de mouche qui conduit les abeilles domestiques à quitter leur ruche, les désoriente et provoque leur mort, selon une recherche publiée mardi."
désoriente,FRA,"assez vite n’être que du théâtre filmé et Polanski oublie trop souvent de nous proposer de véritables idées de mise en scène (malgré quelques beaux plans, au début, où il désoriente un peu le regard avec un miroir)."
désoriente,FRA,"Des chercheurs ont détecté un parasite de mouche qui conduit les abeilles domestiques à quitter leur ruche, les désoriente et provoque leur mort, selon une recherche publiée mardi."
désossées,FRA,- poitrines de poulet désossées et parées
désossées,FRA,"- 6 poitrines de poulet, la peau et le gras enlevé non désossées (j’ai utilisé des suprêmes de poulet)"
désossées,FRA,- 2 poitrines de poulet désossées
désossées,FRA,"1 lb (454 g ) de poitrines de poulet désossées, coupées en cubes"
désossées,FRA,"J'ai servi la sauce et le pain avec des poitrines de poulet désossées, que j'avais juste fait colorer des deux côtés dans la sauteuse, et je les ai ajoutées à la sauce en fin de cuisson."
désossées,FRA,"4 poitrines de poulet désossées, la peau et le gras enlevés (environ 1 1/2 lb / 750 g en tout)"
désossées,FRA,"2 demi-poitrines de poulet désossées et sans la peau, coupées en cubes"
désossées,FRA,"6 poitrines de poulet, désossées, sans peau (ou 10 cuisses de poulet, désossées, sans peau) en morceaux de 1/2 po (2 cm)"
désossées,FRA,"900 g (2 lb) de demi-poitrines de poulet désossées, coupées en petits cubes"
désossées,FRA,"1 poule à bouillir (4 livres) coupée en morceaux (moi, une poitrine désossées pour 2)"
désossées,FRA,Poitrines de poulets désossées (moi 3 petites poitrines)
désossées,FRA,1lb(454 g)poitrines de poulet sans peau et désossées
désossées,FRA,"2 poitrines de dindon de 375 g (3/4 de lb) chacune, la peau enlevée et désossées"
désossées,FRA,"4 poitrines de poulet désossées, sans peau"
désossées,FRA,poitrines de poulets désossées (moi cuisses sans peau)
désossées,FRA,*6 à 8 longes de porc ou côtes de porc désossées (environ 900g - 2 livres)
désossées,FRA,500gr de poitrines de poulet désossées et sans peau
désossées,FRA,- 4 demi-poitrines de poulet désossées et sans la peau
désossées,FRA,blogspot.com	2011/10/05	3	0	1 1/2 lb poitrines de poulet désossées sans la peau
désossées,FRA,"4 grosses poitrines de poulet désossées, la peau et les filets enlevés"
désossées,FRA,blogspot.com	2012/01/09	3	0	1 lb de poitrines de poulet sans peau et désossées
désossées,FRA,"Baisser le feu et laisser mijoter (j’ai ajouté le poulet ici), à couvert, pendant 30 minutes ou jusqu’à ce que le poulet soit cuit (environ 10 minutes avec des poitrines désossées)."
désossées,FRA,"6 côtes premières de veau désossées de 1,5 cm d’épaisseur (j’avais des côtelettes de veau, non désossées)"
désossées,FRA,2 poitrines de poulet désossées
désossées,FRA,"1 poulet à frire (2 ½ à 3 lb), en morceaux (moi, deux petites poitrines désossées)"
désossées,FRA,"1 lb (454 g) poitrines de poulet désossées, coupés en cubes"
désossées,FRA,"Je verse une cuillère à soupe de sauce sur une partie du naan, pose les 2 côtelettes désossées, de nouveau une cuillère à soupe de sauce et pose par-dessus l'autre partie du naan."
désossées,FRA,"2 poitrines de poulet, désossées et coupées en cubes"
déstabilisera,FRA,"On peut donc y signaler et commenter l’actualité, dans la limite de 140 signes, ce qui ne déstabilisera aucun journaliste, la synthèse nous y sommes habitués."
désunit,FRA,"« On se désunit au fur et à mesure et on finit par craquer », analyse Julien Fumat."
détachaient,FRA,"Les Dragons se détachaient en milieu de dernière période pour ne plus être rejoints, avec deux buts dans les quatre dernières minutes."
détachaient,FRA,"Grâce à ces emplois aidés, les clubs se détachaient de tâches administratives très lourdes."
détachaient,FRA,Je le trouvais en demi teinte mais d'excellentes chansons se détachaient du lot.
détaillaient,FRA,"Depuis le début de l'après-midi, les experts Lacoume, Dietrich et Feigner détaillaient, avec précision, et en partie contestée par la défense, leurs travaux, leurs essais,leurs conclusions."
détaillaient,FRA,"Des livrets détaillaient zones, appellations, cépages et associations culinaires."
déteigne,FRA,Je crains que Pétronille ne déteigne sur moi!
déteigne,FRA,"Il aura fallu que je l’épouse pour que sa philosophie déteigne sur moi, pour que je m’en imprègne, pour que je savoure des choses simples… Il m’a emmené trois jours au bord de la mer pour se reposer, pour continuer notre petite bulle de bonheur post mariage et j’ai découvert que c’était chouette de juste regarder la mer, sans être dans l’après… Et depuis, même à la maison, dans le quotidien, j’arrive à trouver un goût différent aux petites choses…"
déteigne,FRA,"En me rendant vers le Jardin des Tuileries, je fais deux arrêts beauté chez Guerlain et Annick Goutal en espérant que le glamour girly des vitrines déteigne un peu sur moi."
déterministes,FRA,"Les effets de l’intelligence, comme d’autres traits psychologiques sont probabilistes, pas déterministes."
déterministes,FRA,"Nouvelle semaine, nouveaux tests des tournois déterministes sur Kit ^^."
détesterait,FRA,Il détesterait voir ses amis s'écrouler.
détesterait,FRA,Elle détesterait toutes ces récupérations.
détesterait,FRA,j'étais presque sûr que tout le monde détesterait.
détesterait,FRA,André BRETON détesterait twitter pour ça: cette solitude à plusieurs!
détiendront,FRA,"Les clubs détiendront 80% du capital, et la Ligue de foot 20%."
détourneront,FRA,"Si le gouvernement refuse de rendre justice et montre que l'Etat de droit n'est pas de retour en Côte d'Ivoire, ces investisseurs là se détourneront et ne feront pas confiance au pays."
détourneront,FRA,Les nouveaux soubresauts de la crise de la dette souveraine dans la zone euro ne détourneront pas la Banque centrale européenne (BCE) de sa mission.
détourneront,FRA,"Ni vos attaques ni vos injures ne me détourneront de la tâche qui m'incombe"", a-t-elle dit."
détourneront,FRA,"Aucune décision politique, ni aucun calcul, ne peut prévoir quand ils se détourneront de la zone euro, jugeant une autre zone moins crédible."
détourneront,FRA,Ce ne sont que des manœuvres d’intimidation qui ne me détourneront pas de ma mission.
détourneront,FRA,"Alors, attention, si vous vous présentez toujours de la même façon, les autres se fatigueront et se détourneront de vous."
détriments,FRA,Les deux députés siègent dans les deux commissions (budgets et contrôle budgétaire) et savent que tout le monde craint désormais une réaffectation de crédits qui se ferait inévitablement aux détriments d'un autre secteur.
détriments,FRA,Qu’importe les dégâts chez ceux qui se sont engraissés aux détriments des pauvres.
détriments,FRA,"Comme le dit Jacques Généreux, ce ne sont pas que les individus qui sont dissociés en raison de l’accentuation de la compétition aux détriments de la collaboration, mais les pays aussi!"
détriments,FRA,Sauf que cette aide doit être mieux ciblée et ne doit pas se faire en diminuant les programmes sociaux ni aux détriments du bien-être des citoyens.
détriments,FRA,"Ensuite, Sarkozy misa sur une Union européenne qu'il tenta d'imposer à l'Europe nordiste dont l'Allemagne; présidant pour 6 mois l'union européenne, il joua surtout sa carte personnelle aux détriments de la concertation, et pour le plus grande agacement de Mme Merkel."
détriments,FRA,"Celui qui a le plus de connaissances même aux détriments d’une armée réduite, à l’extrême comme le disait Bonaparte « l’esprit l’emporte toujours sur l’épée », aujourd’hui c’est plus vraie que tout autre chose."
détriments,FRA,"tu comprends, le monde est moche et le gentil prof moralisateur le comprend à ses détriments."
détriments,FRA,"c'est ce qui se passe, mais détriments des petits qui vont être laminés."
détromper,FRA,"Je veux détromper et rassurer Jean-François Copé (qui a notamment évoqué un climat de suspicion entretenu sans preuves"" sur France Info, NDLR), L'Express ne publie pas de fausses informations, elles ont été vérifiées à plusieurs sources, à des niveaux hiérarchiques différents"", a également souligné le journaliste."
détériorait,FRA,"« Il fallait prendre des mesures pour conserver ce patrimoine qui se détériorait et il fallait aussi un projet qui soit à la mesure des moyens de la commune, pas une rénovation pharaonique qui serait un gouffre financier » détaille Roger Bouvier."
détériorait,FRA,"Au fil des ans, alors que son état physique et mental se détériorait fortement, il a multiplié les révélations sensationnelles sur toutes sortes de projets d'attentats, qui se sont révélés imaginaires."
dévalisée,FRA,"Depuis dix jours en particulier, une série de braquage inquiète la profession: dans la nuit du 21 au 22 décembre, la supérette de Balzac a été visitée a été dévalisée pour la 21eme fois."
dévalisée,FRA,"A Bourg-de-Péage, c'est une bijouterie de la galerie commerciale du Géant Casino qui a été dévalisée; à Valence, l'enseigne Boulanger a été cassée et à Livron, une bijouterie a également été visée."
dévalisée,FRA,Il parait que la boucherie de Modane a été dévalisée cette nuit par un espagnol
dévalisée,FRA,la fnac dévalisée!!!
dévastaient,FRA,"A l'extérieur, des membres des brigades « Bassidji », présentés par les autorités iraniennes comme des « étudiants », dévastaient les lieux et brûlaient le drapeau britannique sous le regard passif de la police."
déveine,FRA,"Et l’ASSE ne doit qu’à l’incroyable déveine d’Aubameyang, à Geoffroy-Guichard, de n’avoir pu s’échapper au score."
déveine,FRA,Quelle déveine !
déveine,FRA,"Quand soudain un grand bruit, une casse quelle déveine"
déveine,FRA,"Mais quand la déveine vous colle à la peau..."""
développerais,FRA,On m'a vaguement parlé d''une psychologue qui a écrit sur ce sujet (la pénétration et sa répercussion socioculturelle - ce n'est pas le titre) donc je ne développerais pas sur ce sujet puisque je le ferais médiocrement.
déverrouillée,FRA,"A partir de dimanche soir, le ou les voleurs ont déclenché à plusieurs reprises l'alarme en jouant avec une porte qu'ils avaient déverrouillée, mais sans entrer dans le bâtiment, trompant ainsi la vigilance du gardien."
déverrouillée,FRA,"Nous sommes déjà rendus devant la porte des vastes locaux, déverrouillée à l’aide de ma carte magnétique."
déverrouillée,FRA,"- reprendre la piscine régulièrement, et me sentir bien, détendue, déverrouillée de partout après la séance"
dévisagé,FRA,"J'ai entendu la phrase «les estis d'immigrés» 9 fois, j'ai roulé mes yeux 37 fois, j'ai dévisagé 4 personnes, et j'ai souri 2 fois."
dévisagé,FRA,"Hello, j't'ai un peu dévisagé hier à la soirée Gears et je m'en excuse, mais je trouvais plus ton nom (désolé ^^)"
dévisagé,FRA,Oscar Wilde ....Arrêtons de dévisagé Autrui..ENVISAGEONS !!
dévissant,FRA,"Un de ses compagnons, qui a tenté de le rattraper, s'est grièvement blessé en dévissant également."
dévissant,FRA,"Il est capable de pousser un chariot, d'ouvrir une bouteille en la tenant et en dévissant le bouchon, et de verser son contenu dans un verre."
dévissant,FRA,"Par ailleuirs, l'année dernière, Véolia Environnement a décroché la palme de la pire performance boursière du CAC 40, dévissant de près de 62%."
dévissant,FRA,"Les bourses asiatiques ont également ouvert mardi en forte baisse, Tokyo dévissant de 1,39%."
dévissant,FRA,"Vendredi, elle avait des marques sur le visage, elle m’a dit qu’elle s’est pris une clé à mollette en dévissant un boulon, je lui ai répondu que la clé n’a pas cinq doigts. »"
dévissant,FRA,"Un de ses compagnons, qui a tenté de le rattraper, s’est grièvement blessé en dévissant également."
dévissant,FRA,Le dos du boitier se retire en dévissant la semelle.
dévitaliser,FRA,Wé moi mauvaise surprise : j'y allais pour la routine je ressors avec une giga carie qui m'a coûté une dent à dévitaliser... :s
dévitaliser,FRA,Mon futur ex dentiste m'a fait un devis à 1389€ pour me dévitaliser une molaire pourtant parfaitement saine
dévorera,FRA,"Car, si nous péchons volontairement après avoir reçu la connaissance de la vérité, il ne reste plus de sacrifice pour les péchés, mais une attente terrible du jugement et l'ardeur d'un feu qui dévorera les rebelles."
dévoreuses,FRA,J’ai découvert ce recueil de nouvelles en me promenant ici et là sur les blogs d’autres dévoreuses de livres comme moi.
dévotement,FRA,"Naïvement , dévotement Ils vont par deux portaient leurs voeux"
dézingués,FRA,"Deux compères dézingués, Machin et Truc jouent avec des machines à sons absurdes fabriquées par la compagnie Royal de Luxe."
déçoive,FRA,"Tous les ans, il faut bien qu'il y ait une série qui me déçoive et cette année, ce fut Californication."
déçoive,FRA,Et puis il a encore fallu que l'humain me déçoive...
eaux-de-vie,FRA,Ces matches à l'extérieur étaient très suivis dans la cité des eaux-de-vie.
eaux-de-vie,FRA,"Autre arrivée de poids au sein du département stratégique des eaux-de-vie de Hennessy, celle de Florent Morillon, l'ancien directeur de la chambre d'agriculture de la Charente."
eaux-de-vie,FRA,"Il pourrait désirer s'offrir l'ex Banque de France pour simplement afficher une vitrine rutilante dans la cité des eaux-de-vie et la mettre bien en évidence sur ses cartes de visite, dans son pays."
eaux-de-vie,FRA,"Pour autant, des verrues, la cité des eaux-de-vie en compte quelques-unes."
eaux-de-vie,FRA,"Pis, une étude a démontré que seul un Cognaçais sur trois savait qu'il existe un réseau de bus dans la cité des eaux-de-vie."
eaux-de-vie,FRA,"«Élevé» dans les chais du fort de La Prée, ce «produit d'appel» pour non-buveurs de Cognac et/ou amoureux de l'authenticité, connaît un beau succès dans les foires aux eaux-de-vie où il fait volontiers trinquer whisky et consorts."
eaux-de-vie,FRA,"Sur l'assemblage des eaux-de-vie, la jeune femme a apporté sa «touche personnelle»."
eaux-de-vie,FRA,Capable en une gorgée de distinguer les terroirs des eaux-de-vie qui composent un cognac.
eaux-de-vie,FRA,"Après avoir écouté les procédés de créations des eaux-de-vie, la dégustation est toujours la bienvenue."
eaux-de-vie,FRA,"Autre nouveauté estivale: l'éclairage plus intimiste du chai d'Isly, où vieillissent les eaux-de-vie."
